?3-4. ????????-????? (1/3),,,,,,,,Table 3-4.  Total Net Tax Revenues-by Region (1/3),,,,,,,,,
,,,,,,,??:?????,,,,,,,,,,"Unit:NT$ 1,000"
"???????

Region",,103?,,104?,,105?,,106?,,107?,,108?,,109?,,110?,
,,CY 2014,,CY 2015,,CY 2016,,CY 2017,,CY 2018,,CY 2019,,CY 2020,,CY 2021,
,,????,???%,????,???%,????,???%,????,???%,????,???%,????,???%,????,???%,????,???%
,,Amount,,Amount,,Amount,,Amount,,Amount,,Amount,,Amount,,Amount,
,,,,,,,,,,,,,,,,,
????,Grand Total,1976106922,100,2134857093,100,2224075454,100,2251246001,100,2386944903,100,2470519242,100,2398667080,100,2874212555,100
????,?New Taipei City,221096918,11.2,246632933,11.6,246765909,11.1,236821701,10.5,246870045,10.3,270861940,11,248143772,10.3,288088399,10
????,?Taipei City,698438888,35.3,761829461,35.7,760718268,34.2,728642464,32.4,804868877,33.7,805205041,32.6,821241911,34.2,1026243026,35.7
????,?Taoyuan City,184767874,9.4,196023500,9.2,192971027,8.7,180703259,8,175667751,7.4,189918582,7.7,182665790,7.6,221237682,7.7
????,?Taichung City,153439000,7.8,159953093,7.5,173005087,7.8,182706700,8.1,188512162,7.9,201786672,8.2,194388064,8.1,224460872,7.8
????,?Tainan City,67205602,3.4,74201516,3.5,84293954,3.8,104903087,4.7,118744663,5,128463038,5.2,124494552,5.2,140355669,4.9
????,?Kaohsiung City,164117018,8.3,171494896,8,200068820,9,216357748,9.6,238924394,10,241255937,9.8,221428882,9.2,252128991,8.8
????,?Yilan County,13052927,0.7,14560434,0.7,14667053,0.7,14079666,0.6,13862902,0.6,13899000,0.6,15318860,0.6,17167215,0.6
????,?Hsinchu County,46224132,2.3,50983103,2.4,51154242,2.3,52665262,2.3,55143274,2.3,61098809,2.5,61366867,2.6,79103268,2.8
????,?Miaoli County,34745090,1.8,34927999,1.6,34984282,1.6,35676457,1.6,36418473,1.5,37911862,1.5,31290904,1.3,37401986,1.3
????,?Changhua County,36393767,1.8,40441223,1.9,49189513,2.2,50505838,2.2,51915579,2.2,51408627,2.1,43571222,1.8,50798587,1.8
????,?Nantou County,9085091,0.5,9523727,0.4,10287094,0.5,10820444,0.5,11021978,0.5,11597125,0.5,10869396,0.5,11748509,0.4
????,?Yunlin County,61088138,3.1,48803828,2.3,61754053,2.8,71314752,3.2,76616098,3.2,67533022,2.7,55000611,2.3,65527796,2.3
????,?Chiayi County,8248219,0.4,8830916,0.4,9510507,0.4,9755161,0.4,10058878,0.4,10764723,0.4,10565662,0.4,10835586,0.4
????,?Pingtung County,22830981,1.2,25928005,1.2,26361329,1.2,26438965,1.2,26430044,1.1,24939639,1,25609122,1.1,26906254,0.9
????,?Taitung County,3292674,0.2,3696067,0.2,3485401,0.2,3277580,0.1,3405567,0.1,3507179,0.1,3468665,0.1,3782572,0.1
????,?Hualien County,11846907,0.6,11908163,0.6,11614331,0.5,12239491,0.5,12025492,0.5,11888435,0.5,13921937,0.6,14927084,0.5
????,?Penghu County,1085455,0.1,1186668,0.1,1208457,0.1,1271004,0.1,1301606,0.1,1185070,0,1246111,0.1,1371121,0
????,?Keelung City,44683900,2.3,49339336,2.3,53885481,2.4,57342896,2.5,66422966,2.8,70609715,2.9,67480095,2.8,71689028,2.5
????,?Hsinchu City,74886852,3.8,101170117,4.7,110006018,4.9,126185223,5.6,114438513,4.8,129497880,5.2,130745729,5.5,181161609,6.3
????,?Chiayi City,7457571,0.4,7688062,0.4,8082501,0.4,9062428,0.4,9176775,0.4,9373895,0.4,10016079,0.4,12853664,0.4
????,?Kinmen County,4739354,0.2,4510193,0.2,4788106,0.2,5172599,0.2,4723899,0.2,4462314,0.2,4112186,0.2,2794036,0.1
????,?Lienchiang County,238685,0,245897,0,302944,0,346433,0,338179,0,308402,0,330506,0,359550,0
????,?Others,107141879,5.4,110977956,5.2,114971077,5.2,114956843,5.1,120056787,5,123042335,5,121390157,5.1,133270051,4.6
,,,,,,,,,,,,,,,,,
????:?????????????????,,,,,,,,Source:Various agencies of the Ministry of Finance and tax collection units of each county/city government.,,,,,,,,,
"????:1.??????????????????,?????????
?????2.???100??,?????????(??????????)???",,,,,,,,"Explanation:1.Other refers to the sum total of taxes including Customs duties and Mining concession tax which are unable to classify by region.
?????  2.Since 2011, the details of the content of this table have been revised to be in accord with the redefinition of the status of 
?????     special municipalities. Please refer to the Introductory Notes for more detailed information.",,,,,,,,,
,,,,,,,,,,,,,,,,,
????:,?????????????????,,,,,,,Source:,Various agencies of the Ministry of Finance and tax collection units of each county/city government.,,,,,,,,
????:,"1.??????????????????,?????????
2.???100??,?????????(??????????)???",,,,,,,Explanation:,"1.Other refers to the sum total of taxes including Customs duties and Mining concession tax which are unable to classify by region.
2.Since 2011, the details of the content of this table have been revised to be in accord with the redefinition of the status of 
   special municipalities. Please refer to the Introductory Notes for more detailed information.",,,,,,,,
103?,104?,105?,,,,,,106?,107?,108?,109?,110?,,,,,
CY 2014,CY 2015,CY 2016,,,,,,CY 2017,CY 2018,CY 2019,CY 2020,CY 2021,,,,,
