??????????????????????????,,,,,,,,,,,,,
,,,,,,,,,,,,,??:?;?;?;?;‰
????,,???,???,??,??,?????????,,,???????,,,??,???
,,,,,,?,?,?,?,?,?,,
??35?,1946,359,6304,77917,1000952,6090860,3060527,3030333,…,…,…,6.08506701620058,101
??36?,1947,359,6288,79201,1120145,6497734,3272297,3225437,66.800747349307,69.1939656144187,64.3836832453727,5.80079721821728,101.45
??37?,1948,359,6299,79488,1192710,6807601,3438230,3369371,47.6884710885364,50.7084167482353,44.6246508612631,5.70767495870748,102.04
??38?,1949,360,6306,79751,1331916,7396931,3766018,3630913,86.5694096936645,95.3362631353923,77.6233902410865,5.55360172863754,103.72
??39?,1950,368,6425,80619,1368654,7554399,3853799,3700600,21.2882883455314,23.3087043131499,19.1926934079665,5.51958274333762,104.14
??40?,1951,360,6517,81708,1440787,7869247,4016708,3852539,41.677438536143,42.2723136313025,41.0579365508296,5.46176985217107,104.26
??41?,1952,360,6553,82314,1492476,8128374,4156469,3971905,32.9290718667237,34.7949116540212,30.9837226826257,5.44623431130551,104.65
??42?,1953,360,6534,83669,1552922,8438016,4326708,4111308,38.0939656566,40.9576012716563,35.0972644109061,5.4336380062875,105.24
??43?,1954,360,6562,84687,1567924,8749151,4487191,4261960,36.8730042701981,37.0912481267513,36.6433261628659,5.58008615213493,105.28
??44?,1955,360,6573,85622,1629257,9077643,4647207,4430436,37.5455858517015,35.6606170764739,39.5301692179185,5.57164584838365,104.89
??45?,1956,360,6579,86386,1695432,9390381,4796195,4594186,34.4514539732395,32.0596866031576,36.9602449962035,5.53863617060431,104.4
??46?,1957,360,6584,86829,1746020,9690250,4942534,4747716,31.9336350676293,30.5114783698327,33.4183248131443,5.54990779028877,104.1
??47?,1958,361,6579,87670,1803820,10039435,5121028,4918407,36.0346740280179,36.1138638601171,35.9522347166511,5.56565233781641,104.12
??48?,1959,361,6584,88514,1868577,10431341,5336555,5094786,39.0366589354879,42.0866669738967,35.8610013364083,5.58250529681142,104.75
??49?,1960,361,6597,89196,1939733,10792202,5525062,5267140,34.59392229628,35.3237247625106,33.8294876369685,5.56375645514099,104.9
??50?,1961,361,6610,89776,2002493,11149139,5715463,5433676,33.0736025882392,34.4613327416054,31.6179178833295,5.56762944989071,105.19
??51?,1962,361,6640,90617,2050500,11511728,5902218,5609510,32.5217041423557,32.6753930521464,32.3600450229274,5.61410777859059,105.22
??52?,1963,361,6654,91316,2118281,11883523,6097634,5785889,32.2970626130152,33.1089092270059,31.4428532973468,5.60998422777715,105.39
??53?,1964,361,6662,91791,2187612,12256682,6294935,5961747,31.4013781939918,32.3569764928495,30.3942920439711,5.60276776686177,105.59
??54?,1965,361,6684,92440,2257031,12628348,6491539,6136809,30.3235410692714,31.2320937388551,29.3642115306134,5.59511499842049,105.78
??55?,1966,361,6724,93478,2321595,12992763,6684006,6308757,28.8569019479032,29.6489014392427,28.0191219899462,5.59648129841768,105.95
??56?,1967,361,6820,95293,2388152,13296571,6841155,6455416,23.3828632139292,23.5111997206466,23.2468931677032,5.56772391372073,105.98
??57?,1968,361,6842,96135,2465965,13650370,7030787,6619583,26.6082887084196,27.7192959376012,25.4308939966069,5.53550841151436,106.21
