,ID,縣市,土地面積,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,主建物面積,陽台面積,附屬建物面積,經度,緯度,站點級別,與大眾交通最短距,與國小最短距,國小總人數,與國中最短距,國中總人數,與高中最短距,高中總人數,與大學最短距,大學總人數,與atm最短距,與post最短距,與bank最短距,與腳踏車站最短距,與醫療機構最短距,與便利超商最短距,<0.5的超商數量,<0.5公車站數,與政府最短距,縣市_區域,與百貨最短距,與高鐵最短距,人口密度,老化指數,平均收入
0,PU-1,1,2.0393784158445825,3,7,2,4,2,13.916666666666666,0.4722017779864632,0.1461762930847089,1.0,0.8496638427134873,0.1461606792844003,-0.4384519028208025,121.3836841393932,24.949745260869545,3.0,2.67,0.12,248.0,0.12,224.0,0.75,220.0,1.46,212.0,0.14,0.81,0.54,0.13,0.12,0.14,6.0,139.0,10.72,69,11.12,10.78,1946.61,147.86,0.005073707
1,PU-2,1,-0.0777861276769849,5,5,2,4,1,40.833333333333336,-0.5464545001161122,-0.8193256863726953,0.0,-0.0041021165165111,0.0642566584481619,-0.4384519028208025,121.4832361165594,25.068862110048155,2.0,0.92,0.26,355.0,0.47,230.0,0.21,659.0,5.62,1556.0,0.12,0.33,0.26,0.09,0.13,0.14,23.0,54.0,6.58,60,6.22,4.11,1946.61,147.86,0.005073707
2,PU-3,1,-0.555765608691798,2,20,10,4,0,1.3333333333333333,0.1240316118668014,-0.167418749843056,1.0,-0.2858618565407251,-0.7752595551232808,1.3230424838007822,121.4657304582178,25.02932067761285,2.0,0.37,0.91,293.0,0.28,466.0,1.46,212.0,0.92,1556.0,0.24,0.71,0.3,0.28,0.22,0.23,23.0,28.0,1.92,67,1.62,1.71,1946.61,147.86,0.005073707
3,PU-4,1,-0.7448376409295061,6,16,2,4,0,27.5,-0.0270719420762203,0.115280229742072,1.0,0.0275817096709508,0.3167940560265634,-0.1395316432728971,121.42691199069148,25.04798111089698,2.0,1.91,0.36,116.0,0.61,460.0,1.13,498.0,0.9,37.0,0.03,0.74,0.13,0.26,0.13,0.01,7.0,94.0,5.53,72,5.51,5.29,1946.61,147.86,0.005073707
4,PU-5,0,-0.6109226334770453,3,7,2,4,2,40.5,-0.8635996019280814,-0.8193256863726953,0.0,-0.8833282932185769,-0.5602615004281553,-0.0754773019412033,121.57579484008733,25.03899229518008,2.0,0.21,0.58,349.0,0.46,366.0,0.37,636.0,2.08,581.0,0.06,0.21,0.11,0.09,0.05,0.07,24.0,152.0,1.15,20,0.89,3.52,9126.87,166.1,0.006299707
5,PU-6,1,0.5490572363530009,5,5,2,4,1,35.0,-0.3936273314893298,-0.8193256863726953,0.0,0.2643617321611787,-0.056893039038774,-0.4384519028208025,121.48850090614272,25.08421066899734,2.0,0.88,0.19,266.0,0.68,317.0,0.38,551.0,7.08,3550.0,0.05,0.59,0.35,0.11,0.09,0.06,20.0,75.0,8.37,60,8.0,4.94,1946.61,147.86,0.005073707
6,PU-7,1,-0.6959533758257184,8,14,10,4,0,3.75,-0.511982206440898,0.7996280327814802,1.0,-0.75008648844809,-0.8742269136337354,0.3686327979585416,121.4269335937531,25.048495654058986,2.0,1.96,0.41,116.0,0.57,460.0,1.07,498.0,0.96,37.0,0.04,0.72,0.08,0.23,0.08,0.06,8.0,94.0,5.57,72,5.54,5.33,1946.61,147.86,0.005073707
7,PU-8,1,-0.7807197489924143,3,13,2,4,0,17.75,-0.1144017527200955,0.3145598383020802,1.0,-0.1942050736412821,-0.2121694118741422,0.1529831821418385,121.43327606598936,25.054047661460206,2.0,2.38,0.52,188.0,0.33,460.0,0.55,498.0,1.82,37.0,0.07,0.3,0.28,0.17,0.14,0.03,11.0,141.0,5.65,72,5.56,5.41,1946.61,147.86,0.005073707
8,PU-9,5,-0.2272748833041037,14,14,2,4,0,22.75,1.2242723183340505,0.8382481119597762,1.0,1.6324240843269413,0.9669072214142048,-0.3018026413131885,121.2982819819477,25.056032277636675,2.0,3.07,0.71,339.0,0.14,518.0,0.42,429.0,5.75,216.0,0.04,0.8,0.14,0.31,0.07,0.03,11.0,50.0,7.02,92,7.52,9.76,1868.59,101.89,0.005368094
9,PU-10,1,0.2198455041053685,4,5,2,4,1,41.333333333333336,-0.6309116196203864,-0.8193256863726953,0.0,0.0001412530621669,-0.7889102252626539,-0.4384519028208025,121.45352671617069,25.049319660139727,2.0,0.68,0.31,156.0,0.8,324.0,1.41,212.0,2.68,427.0,0.1,0.22,0.19,0.17,0.02,0.1,27.0,79.0,4.3,66,4.09,4.06,1946.61,147.86,0.005073707
