按性別_按經常居住地區分_及按鄉鎮市區別分_By_Sex_By_Usually_Living_County_City_By_Township_City_District_人數,總計_Grand_total_人數,同現住鄉鎮市區_Same_township_city_district_人數,同現住縣市不同鄉鎮市區_Same_county_city_人數,不同縣市或國外地區_Other_county_city_or_overseas_人數
總計_Grand_total,3636704,2423264,789584,423856
按性別分_By_Sex,,,,
男_Male,1877478,1247361,413296,216821
女_Female,1759226,1175903,376288,207035
按經常居住地區分_By_Usually_Living_County_City,,,,
北部地區,1743670,1118514,316740,308416
Northern Region,,,,
新北市,635175,349849,107628,177698
New Taipei City,,,,
臺北市,412689,282045,84511,46133
Taipei City,,,,
桃園市,383158,268495,75140,39523
Taoyuan City,,,,
基隆市,50139,30820,9172,10147
Keelung City,,,,
新竹市,96868,76649,10512,9707
Hsinchu City,,,,
宜蘭縣,60057,40786,16461,2810
Yilan County,,,,
新竹縣,105584,69870,13316,22398
Hsinchu County,,,,
中部地區,879199,609909,215309,53981
Central Region,,,,
臺中市,497964,340045,137070,20849
Taichung City,,,,
苗栗縣,77522,56329,13737,7456
Miaoli County,,,,
彰化縣,162616,107942,42246,12428
Changhua County,,,,
南投縣,54583,41662,6215,6706
Nantou County,,,,
雲林縣,86514,63931,16041,6542
Yunlin County,,,,
南部地區,923930,627386,237524,59020
Southern Region,,,,
臺南市,294703,200294,81423,12986
Tainan City,,,,
高雄市,405140,268153,118930,18057
Kaohsiung City,,,,
嘉義市,36485,27412,4806,4267
Chiayi City,,,,
嘉義縣,67612,44467,7500,15645
Chiayi County,,,,
屏東縣,109988,78741,23525,7722
Pingtung County,,,,
澎湖縣,10002,8319,1340,343
Penghu County,,,,
東部地區,76744,57852,16453,2439
Eastern Region,,,,
臺東縣,28062,23800,3366,896
Taitung County,,,,
花蓮縣,48682,34052,13087,1543
Hualien County,,,,
金馬地區,13161,9603,3558,0
Kinma Region,,,,
金門縣,11829,8302,3527,0
Kinmen County,,,,
連江縣,1332,1301,31,0
Lienchiang County,,,,
按性別分_By_Sex,,,,
新北市_男_Male,320819,177042,53615,90162
新北市_女_Female,314356,172807,54013,87536
按鄉鎮市區別分_By_Township_City_District,,,,
新北市板橋區,86998,53370,13157,20471
Banqiao District,,,,
新北市三重區,55588,26267,8678,20643
Sanchong District,,,,
新北市中和區,62658,30717,15124,16817
Zhonghe District,,,,
新北市永和區,31840,13766,5451,12623
Yonghe District,,,,
新北市新莊區,70571,44914,11237,14420
Xinzhuang District,,,,
新北市新店區,45189,24397,4553,16239
Xindian District,,,,
新北市樹林區,28281,13705,7865,6711
Shulin District,,,,
新北市鶯歌區,12583,7501,1915,3167
Yingge District,,,,
新北市三峽區,18998,13242,3429,2327
Sanxia District,,,,
新北市淡水區,36657,27173,1402,8082
Danshui District,,,,
新北市汐止區,34116,11997,3407,18712
Xizhi District,,,,
新北市瑞芳區,3903,2306,370,1227
Ruifang District,,,,
新北市土城區,34442,19822,7028,7592
Tucheng District,,,,
新北市蘆洲區,35747,15813,8169,11765
Luzhou District,,,,
新北市五股區,15691,5302,6389,4000
Wugu District,,,,
新北市泰山區,17279,11427,3301,2551
Taishan District,,,,
新北市林口區,21933,16197,1646,4090
Linkou District,,,,
新北市深坑區,5698,2535,704,2459
Shenkeng District,,,,
新北市石碇區,927,692,126,109
Shiding District,,,,
新北市坪林區,248,164,53,31
Pinglin District,,,,
新北市三芝區,4352,3053,914,385
Sanzhi District,,,,
新北市石門區,598,222,278,98
Shimen District,,,,
新北市八里區,5555,2330,1488,1737
Bali District,,,,
新北市平溪區,211,106,66,39
Pingxi District,,,,
新北市雙溪區,441,340,40,61
Shuangxi District,,,,
新北市貢寮區,623,320,143,160
Gongliao District,,,,
新北市金山區,1955,1341,223,391
Jinshan District,,,,
新北市萬里區,1636,675,273,688
Wanli District,,,,
新北市烏來區,457,155,199,103
Wulai District,,,,
按性別分_By_Sex,,,,
臺北市_男_Male,210998,144284,42896,23818
臺北市_女_Female,201691,137761,41615,22315
按鄉鎮市區別分_By_Township_City_District,,,,
臺北市松山區,24556,12801,8401,3354
Songshan District,,,,
臺北市信義區,29487,17312,8084,4091
Xinyi District,,,,
臺北市大安區,54726,43234,6405,5087
Da'an District,,,,
臺北市中山區,32003,20153,8147,3703
Zhongshan District,,,,
臺北市中正區,24972,16767,5738,2467
Zhongzheng District,,,,
臺北市大同區,14648,7808,4424,2416
Datong District,,,,
臺北市萬華區,20944,11596,5606,3742
Wanhua District,,,,
臺北市文山區,52130,38947,7105,6078
Wenshan District,,,,
臺北市南港區,18925,11611,5338,1976
Nangang District,,,,
臺北市內湖區,40194,27482,8228,4484
Neihu District,,,,
臺北市士林區,54258,40481,8910,4867
Shilin District,,,,
臺北市北投區,45846,33853,8125,3868
Beitou District,,,,
按性別分_By_Sex,,,,
桃園市_男_Male,200838,139948,40889,20001
桃園市_女_Female,182320,128547,34251,19522
按鄉鎮市區別分_By_Township_City_District,,,,
桃園市桃園區,69448,43652,16012,9784
Taoyuan District,,,,
桃園市中壢區,84719,69830,9004,5885
Zhongli District,,,,
桃園市大溪區,15091,9527,4098,1466
Daxi District,,,,
桃園市楊梅區,24971,16896,5578,2497
Yangmei District,,,,
桃園市蘆竹區,29858,20246,6095,3517
Luzhu District,,,,
桃園市大園區,13292,8269,4106,917
Dayuan District,,,,
桃園市龜山區,42320,32632,3603,6085
Guishan District,,,,
桃園市八德區,32850,20108,9161,3581
Bade District,,,,
桃園市龍潭區,19283,13329,3893,2061
Longtan District,,,,
桃園市平鎮區,33804,23758,7614,2432
Pingzhen District,,,,
桃園市新屋區,6491,3817,2092,582
Xinwu District,,,,
桃園市觀音區,10259,5886,3688,685
Guanyin District,,,,
桃園市復興區,772,545,196,31
Fuxing District,,,,
按性別分_By_Sex,,,,
基隆市_男_Male,26301,16287,4511,5503
基隆市_女_Female,23838,14533,4661,4644
按鄉鎮市區別分_By_Township_City_District,,,,
基隆市中正區,10557,7931,1474,1152
Zhongzheng District,,,,
基隆市七堵區,7009,4031,678,2300
Qidu District,,,,
基隆市暖暖區,5198,3089,956,1153
Nuannuan District,,,,
基隆市仁愛區,4782,2431,1408,943
Ren'ai District,,,,
基隆市中山區,5934,3936,1060,938
Zhongshan District,,,,
基隆市安樂區,10442,5701,2442,2299
Anle District,,,,
基隆市信義區,6217,3701,1154,1362
Xinyi District,,,,
按性別分_By_Sex,,,,
新竹市_男_Male,52976,42003,5819,5154
新竹市_女_Female,43892,34646,4693,4553
按鄉鎮市區別分_By_Township_City_District,,,,
新竹市東區,53232,47058,1067,5107
