111?????????,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111?????????,,,,,,,,"The Survey of Family Income and Expenditure, 2022",,111?????????,,,,,,,,"The Survey of Family Income and Expenditure, 2022"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?2?  ?????????????,,,,,Table 2.  Average Family Income and Expenditure per Household by Areas,,,,,?2?  ?????????????(??),,,,,Table 2.  Average Family Income and Expenditure per Household by Areas (Cont.1),,,,,?2?  ?????????????(??),,,,,Table 2.  Average Family Income and Expenditure per Household by Areas (Cont.2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  ???????  ? ?  111  ?                          ,,,,??:?,                                                            2 0 2 2                                                  Unit:NT$,,,,,                  ???????  ? ?  111  ?              ???      ,,,,??:?,                                                            2 0 2 2                                                  Unit:NT$,,,,,                  ???????  ? ?  111  ?            ???        ,,,,??:?,                                                            2 0 2 2                                                  Unit:NT$,,,
,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,,,,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,,,,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,? ? ?,
,General,New Taipei,Taipei,Taoyuan,Taichung,Tainan,Kaohsiung,,,,Yilan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,City,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
????,8968427.9999,1622976,1041655,866528.99999,1022349,711542.99999,1129734,No. of households,,????,174726,212370,195947,400502,179601,244767,185092,No. of households,,????,294025,84071.999999,127840,42204.999999,156154,174515,101826,No. of households
??????,2.83,2.82,2.71,3.06,2.91,2.79,2.8,No. of persons per household,,??????,2.81,3.2,2.85,2.96,2.93,2.66,2.54,No. of persons per household,,??????,2.76,2.42,2.35,2.21,2.63,2.99,2.63,No. of persons per household
????????,2.42,2.45,2.43,2.52,2.46,2.36,2.37,No. of adults per household,,????????,2.41,2.67,2.48,2.53,2.53,2.33,2.28,No. of adults per household,,????????,2.36,2.01,2.09,1.98,2.3,2.44,2.28,No. of adults per household
????????,1.34,1.38,1.24,1.45,1.38,1.37,1.34,No. of persons employed per household,,????????,1.13,1.44,1.35,1.43,1.42,1.23,1.08,No. of persons employed per household,,????????,1.38,1.08,1.05,0.85,1.1,1.26,1.14,No. of persons employed per household
???????????,1.78,1.88,1.9,1.86,1.77,1.69,1.71,No. of income recipients per household,,???????????,1.68,1.88,1.76,1.76,1.77,1.57,1.58,No. of income recipients per household,,???????????,1.7,1.49,1.61,1.48,1.64,1.79,1.6,No. of income recipients per household
????????,1340847.6554,1421384.7747,1752410.6964,1449548.9879,1338826.4805,1143699.1411,1263067.7082,A.Total receipts,,????????,1165557.5107,1702133.8034,1273250.4036,1108220.8482,1048878.6329,1016912.7257,891497.76382,A.Total receipts,,????????,1083933.1934,916928.01773,1010040.7906,919357.29343,1099525.5542,1722889.3452,1282798.0748,A.Total receipts
?1.??????,747732.7358,826725.35175,1036746.6481,880668.0273,702393.31001,614497.49771,692888.5446,?1.Compensation of employees,,?1.??????,574696.91122,1085761.0804,717764.18279,593130.86847,479331.70579,388018.91746,355529.5031,?1.Compensation of employees,,?1.??????,514214.9975,452239.73911,478413.09544,438296.3281,668139.06211,1083231.2377,635977.17934,?1.Compensation of employees
??(1)????,546659.00554,642450.51666,745285.8129,654276.12618,514535.2719,448925.26227,491744.28046,??(1)Full time payroll,,??(1)????,404275.4312,760053.59694,504746.34638,450334.19315,312597.09216,272300.2383,259928.45208,??(1)Full time payroll,,??(1)????,377036.09477,294961.29698,317159.65138,302219.26457,496724.17087,704657.95849,432042.83326,??(1)Full time payroll
??(2)????,47915.972319,26716.576212,69833.109899,47325.766446,49630.601661,37792.964813,54987.198051,??(2)Part time payroll,,??(2)????,57449.103118,37842.900957,69466.540806,34316.030123,70456.058772,34541.730663,26509.992481,??(2)Part time payroll,,??(2)????,56817.576275,89093.349292,83359.572814,48882.074715,43305.785369,53565.734139,82452.62256,??(2)Part time payroll
