    ??????????????????? ,,,,,,,,,,,
,,,,,,,,,,,??:????;?;?;?
 ? ? ? ?,? ? ? ?,??,???,?  ?,?  ?,???????,,,???? ( ??,???? ( ??,? ? ( ??
,( ???? ),???,,,,?   ?,?,?,??????? ),?????? ), ????? )
87 ?,36188.0354,369,7755,143104,6369768,21928591,11243408,10685183,105.22,605.96,3.44
88 ?,36188.0354,369,7755,143471,6532466,22092387,11312728,10779659,104.95,610.49,3.38
89 ?,36188.0354,369,7756,144112,6681685,22276672,11392050,10884622,104.66,615.58,3.33
90 ?,36188.0354,369,7775,145196,6802281,22405568,11441651,10963917,104.36,619.14,3.29
91 ?,36188.0354,369,7809,146266,6925019,22520776,11485409,11035367,104.08,622.33,3.25
92 ?,36188.0354,369,7809,145971,7047168,22604550,11515062,11089488,103.84,624.64,3.21
93 ?,36188.0354,368,7810,146225,7179943,22689122,11541585,11147537,103.53,626.98,3.16
94 ?,36188.0354,368,7833,146967,7292879,22770383,11562440,11207943,103.16,629.22,3.12
95 ?,36188.0354,368,7828,147134,7394758,22876527,11591707,11284820,102.72,632.16,3.09
96 ?,36189.505,368,7826,147342,7512449,22958360,11608767,11349593,102.28,634.39,3.06
97 ?,36189.505,368,7827,147591,7655772,23037031,11626351,11410680,101.89,636.57,3.01
98 ?,36191.4667,368,7834,147863,7805834,23119772,11636734,11483038,101.34,638.82,2.96
99 ?,36191.4667,368,7835,147877,7937024,23162123,11635225,11526898,100.94,639.99,2.92
100 ?,36192.8155,368,7835,147828,8057761,23224912,11645674,11579238,100.57,641.7,2.88
101 ?,36192.8155,368,7835,148358,8186432,23315822,11673319,11642503,100.26,644.21,2.85
102 ?,36192.8155,368,7839,148587,8286260,23373517,11684674,11688843,99.96,645.81,2.82
103 ?,36192.8155,368,7851,147785,8382699,23433753,11697971,11735782,99.68,647.47,2.8
104 ?,36197.0669,368,7851,147478,8468978,23492074,11712047,11780027,99.4229215264108,649,2.77389715736657
105 ?,36197.0669,368,7851,147373,8561383,23539816,11719270,11820546,99.14,650.32,2.75
106 ?,36197.0669,368,7851,147520,8649000,23571227,11719580,11851647,98.89,651.19,2.73
107 ?,36197.0669,368,7760,142734,8734477,23588932,11712913,11876019,98.63,651.68,2.7
108 ?,36197.0669,368,7760,142796,8832745,23603121,11705186,11897935,98.38,652.07,2.67
109 ?,36197.0669,368,7760,142881,8933814,23561236,11673765,11887471,98.2,650.92,2.64
110 ?,36197.0669,368,7734,142411,9006580,23375314,11578696,11796618,98.15,645.78,2.6
111 ?,36197.0669,368,7748,142534,9089450,23264640,11499136,11765504,97.74,642.72,2.56
9?,36197.0669,368,7748,142532,9062527,23198133,11475695,11722438,97.9,640.88,2.56
10?,36197.0669,368,7748,142528,9068488,23212056,11480153,11731903,97.85,641.27,2.56
11?,36197.0669,368,7748,142529,9077086,23233593,11487412,11746181,97.8,641.86,2.56
12?,36197.0669,368,7748,142534,9089450,23264640,11499136,11765504,97.74,642.72,2.56
112 ?,,,,,,,,,,,
1?,36197.0669,368,7748,142476,9099394,23301968,11516801,11785167,97.72,643.75,2.56
2?,36197.0669,368,7748,142474,9113845,23313550,11520183,11793367,97.68,644.07,2.56
3?,36197.0669,368,7748,142490,9128914,23332929,11527152,11805777,97.64,644.61,2.56
4?,36197.0669,368,7748,142563,9139050,23347374,11532446,11814928,97.61,645.01,2.55
5?,36197.0669,368,7748,142565,9153985,23361084,11536859,11824225,97.57,645.39,2.55
6?,36197.0669,368,7748,142570,9167221,23373283,11540567,11832716,97.53,645.72,2.55
7?,36197.0669,368,7748,142532,9180345,23392423,11548206,11844217,97.5,646.25,2.55
8?,36197.0669,368,7748,142518,9199122,23399654,11550127,11849527,97.47,646.45,2.54
9?,36197.0669,368,7748,142525,9220646,23404300,11550801,11853499,97.45,646.58,2.54
"?????
?? (%,??)",0,0,0,-0.00491117784076558,1.74475618114021,0.888722381236456,0.654478879056998,1.1180353438423,-0.459652706843721,0.8894020721508,-0.781250000000001
"? ? ?
?? (%)",0,0,0,0.0049116602815083,0.233978851459955,0.0198549944370972,0.00583543367098907,0.0335203253260658,-0.0205191340925372,0.0201098306133491,0
"??:1.?????-???????,?0.00????????0.005?",,,,,,,,,,,                ????????
"???2.?????????103?2???????????????,????????",,,,,,,,,,,
"???3.96?12?,???????????????1.2?????",,,,,,,,,,,
"???4.96?12??,???????????????(2.38????)????????(0.4896????),??????;?????????????",,,,,,,,,,,
"???5.98?2?,???????????????1.9617?????",,,,,,,,,,,
"???6.??????????100?9???????????????????????????41.2061????,??1.3488????,104?4???????????45.4426????,",,,,,,,,,,,
???   ??4.2365?????,,,,,,,,,,,
"???7.104?12????????????????,????0.0149?????",,,,,,,,,,,
